name_zh,name_en,address,star_rating,opening_date,description
北京王府井希尔顿酒店,Hilton Beijing Wangfujing,北京市东城区王府井大街8号,5,2018-06,位于王府井核心商圈，步行可达故宫与天安门，现代商务与休闲兼顾的高端酒店。
上海外滩华尔道夫酒店,Waldorf Astoria Shanghai on the Bund,上海市黄浦区中山东一路2号,5,2010-08,外滩历史建筑改造的奢华酒店，拥有百年英式风情与摩登上海天际线景观。
广州珠江新城四季酒店,Four Seasons Hotel Guangzhou,广州市天河区珠江新城珠江西路5号,5,2012-01,地标性摩天大楼酒店，高层景观俯瞰珠江与广州塔。
深圳福田香格里拉大酒店,Shangri-La Hotel Shenzhen,深圳市福田区益田路4088号,5,2003-09,CBD核心位置，毗邻会展中心，适合商务会议与家庭休闲。
杭州西湖绿城尊蓝酒店,The Dragon Hotel Hangzhou,杭州市西湖区曙光路120号,5,2006-05,西湖景区边缘，融合江南园林与现代设施的品质酒店。
成都宽窄巷子亚朵酒店,Atour Hotel Chengdu Kuanzhai Alley,成都市青羊区长顺上街127号,4,2019-11,文化氛围浓厚的街区酒店，设计感强，适合年轻旅客与文艺青年。
西安钟楼全季酒店,Ji Hotel Xi'an Bell Tower,西安市碑林区南大街与钟楼十字西南角,4,2017-03,古城中心位置，性价比高，步行可达回民街与城墙。
重庆解放碑万豪行政公寓,Marriott Executive Apartments Chongqing,重庆市渝中区解放碑步行街附近,5,2020-07,高端服务式公寓，适合长期商务停留，俯瞰洪崖洞夜景。
南京新街口希尔顿欢朋酒店,Hilton Garden Inn Nanjing Xinjiekou,南京市玄武区洪武路88号,4,2018-12,商圈便利型酒店，设施新颖，适合购物与商务结合。
武汉光谷凯悦酒店,Grand Hyatt Wuhan Optics Valley,武汉市洪山区光谷生物城附近,5,2021-04,科技新区高端酒店，会议设施完善，适合会展与科技商务。
青岛栈桥洲际酒店,InterContinental Qingdao,青岛市市南区栈桥景区附近,5,2014-10,海景房占比高，步行可达五四广场与奥帆中心。
厦门鼓浪屿日航酒店,Hotel Nikko Xiamen Gulangyu,厦门市思明区鼓浪屿龙头路,5,2019-08,岛上高端度假酒店，复古建筑与海岛风情结合。
三亚亚龙湾瑞吉度假酒店,The St. Regis Sanya Yalong Bay Resort,三亚市亚龙湾国家旅游度假区,5,2011-06,顶级海滨度假酒店，私密沙滩与管家服务。
丽江古城悦榕庄,Banyan Tree Lijiang,丽江市古城区狮子山,5,2006-04,纳西风格高端度假村，雪山景观与温泉体验。
